engine no,TGT_mean,TGT_max,TGT_std,FF_mean,anomaly_score,is_anomalous
115,617.8438818565401,681,18.318552250111967,5519.587341772152,-0.5742348620594657,True
123,597.3975084937713,671,28.249986327429106,5484.5724801812,-0.5420634040978927,True
148,636.857104121475,726,22.766105294432666,6258.0526030368765,-0.5390447404229952,True
147,634.3111954459202,723,22.740345306775524,6319.096774193548,-0.5385138488111402,True
126,592.4281045751634,649,22.98889672969047,5790.427015250545,-0.5356391463781662,True
120,631.258883248731,699,18.935284534510483,5621.09771573604,-0.5343172845099387,True
111,605.0997398091934,675,27.514729797601543,5451.268863833478,-0.5326505286867533,False
119,594.6102836879433,704,30.59936159524471,6023.012056737589,-0.5222784574111528,False
137,645.1720754716981,698,17.036631202010955,6277.436981132076,-0.5206493616736053,False
131,644.5071884984026,707,20.571470533796948,5978.040734824282,-0.5102351631567869,False
113,588.0743910467413,684,23.63843264823226,5768.614219881501,-0.507011430810282,False
133,603.8424008424008,689,30.342232394895294,6063.121446121446,-0.5058629241887992,False
132,600.6100386100386,684,29.749904121834255,6039.002106002106,-0.5049575456599926,False
136,635.4520754716981,685,16.725033401771526,6152.788679245283,-0.5023345773974265,False
125,603.1263616557734,664,23.36466733000026,5791.343137254902,-0.5018263674926058,False
145,627.5730569948187,674,17.65729838294946,6254.824870466321,-0.5014910419383038,False
118,604.1039744499645,715,30.626104903448248,5970.513484740951,-0.5001896196071504,False
114,589.1484040802895,688,23.97826581828512,5794.828891082593,-0.49481425379344884,False
146,633.6134715025906,680,17.72949183059168,6231.8943005181345,-0.4928194676755211,False
121,609.5145631067961,699,26.944578720370014,5767.789644012945,-0.4922806727281798,False
139,635.837182448037,688,15.405803377849628,5826.878752886836,-0.4913674293158743,False
129,607.5689564761406,703,28.581740462053467,6164.781331934976,-0.49067442610077183,False
138,631.1167630057804,678,14.96528416871802,5881.402312138728,-0.49041408477921883,False
143,600.7949725058916,725,27.15286693824131,6116.792615868028,-0.4814116694194998,False
149,622.0649484536083,693,30.778494030503893,6154.244329896907,-0.48074938421500063,False
130,599.1017838405037,691,28.17420735479248,5974.263378803777,-0.47698926994445245,False
144,599.9328094302554,722,27.015104021416814,6079.443222003929,-0.47266265736904167,False
122,609.3712230215828,682,31.713808064836115,6179.658992805756,-0.4621753224859837,False
141,628.156855298139,717,20.229874035222046,5943.35510824155,-0.4616430467240241,False
140,629.1271347248577,720,20.525244284753747,5973.699430740038,-0.46149292578025775,False
150,622.0911722141824,674,18.056002099366562,5940.8813314037625,-0.4604201640482053,False
127,611.6770334928229,740,28.729631747149465,5987.462320574163,-0.45810947315685063,False
112,624.0487231182796,694,25.60933348203796,6050.468413978495,-0.45113508984454764,False
124,616.3437744714174,700,25.88830875823988,5950.66523101018,-0.4509747947986765,False
134,622.8976377952756,697,22.382332809622355,5996.905511811024,-0.4508213104792645,False
135,621.9635826771654,695,22.175823443073796,6006.780511811024,-0.4502932702859305,False
142,615.6289716433208,686,25.64697410334755,5873.5664502904,-0.4497578929747108,False
128,609.0921052631579,740,28.86120872579649,5992.176435406698,-0.4489222358202246,False
117,605.0286885245902,712,27.87661697112108,6122.116616989568,-0.4441078043602156,False
116,603.7377049180328,709,28.043410150595307,6082.944485842027,-0.43579323217280186,False
